1m;2m;3m;4m;5m;10m;15m;20m;25m;30m
0.95;0.00;2.93;0.00;4.95;9.95;0.00;20.87;25.03;29.83
0.95;0.00;2.93;0.00;4.95;9.88;0.00;20.61;25.03;29.90
0.95;0.00;2.93;0.00;4.95;9.92;0.00;20.90;25.05;29.89
0.95;0.00;2.93;0.00;4.95;9.90;0.00;20.40;24.97;29.90
0.95;0.00;2.93;0.00;4.95;9.90;0.00;20.90;24.97;29.86
0.95;0.00;2.93;0.00;4.95;9.90;0.00;20.90;25.05;29.87
0.95;0.00;2.93;0.00;4.95;9.91;0.00;20.64;25.02;29.89
0.95;0.00;2.93;0.00;4.95;9.92;0.00;20.64;25.01;29.85
0.95;0.00;2.93;0.00;4.95;9.90;0.00;20.91;25.01;29.91
0.95;0.00;2.93;0.00;4.95;9.91;0.00;20.33;25.00;29.89
0.95;0.00;2.93;0.00;4.95;9.93;0.00;20.89;25.02;29.89
0.95;0.00;2.93;0.00;4.95;9.94;0.00;20.63;25.01;29.87
0.95;0.00;2.93;0.00;4.95;9.91;0.00;20.92;24.97;29.84
0.96;0.00;2.93;0.00;4.95;9.93;0.00;20.63;25.02;29.91
0.96;0.00;2.93;0.00;4.95;9.91;0.00;20.61;24.99;29.85
0.96;0.00;2.93;0.00;4.95;9.94;0.00;20.67;24.99;29.83
0.96;0.00;2.93;0.00;4.95;9.92;0.00;20.90;25.02;29.84
0.96;0.00;2.93;0.00;4.95;9.88;0.00;20.91;25.01;29.86
0.96;0.00;2.93;0.00;4.95;9.93;0.00;20.90;24.98;29.88
0.96;0.00;2.93;0.00;4.96;9.89;0.00;20.90;24.97;29.88
0.96;0.00;2.93;0.00;4.96;9.92;0.00;20.55;25.01;29.87
0.96;0.00;2.93;0.00;4.96;9.93;0.00;20.90;25.02;29.89
0.96;0.00;2.93;0.00;4.96;9.91;0.00;20.94;24.98;29.86
0.96;0.00;2.93;0.00;4.96;9.89;0.00;20.92;25.01;29.89
0.97;0.00;2.93;0.00;4.96;9.91;0.00;20.63;24.98;29.88
0.97;0.00;2.93;0.00;4.96;9.91;0.00;20.86;25.04;29.89
0.97;0.00;2.93;0.00;4.96;9.87;0.00;20.90;25.02;29.88
0.97;0.00;2.93;0.00;4.96;9.92;0.00;20.79;25.05;29.85
0.97;0.00;2.93;0.00;4.97;9.92;0.00;20.88;24.97;29.89
0.97;0.00;2.93;0.00;4.97;9.90;0.00;20.30;25.01;29.87
0.97;0.00;2.93;0.00;4.97;9.93;0.00;20.67;25.02;29.89
0.97;0.00;2.93;0.00;4.97;9.94;0.00;20.88;24.99;29.90
0.97;0.00;2.93;0.00;4.97;9.91;0.00;20.88;25.03;29.86
0.97;0.00;2.93;0.00;4.97;9.92;0.00;20.93;24.96;29.88
0.98;0.00;2.93;0.00;4.97;9.90;0.00;20.89;25.00;29.85
0.98;0.00;2.93;0.00;4.98;9.90;0.00;20.61;25.01;29.87
0.98;0.00;2.93;0.00;4.98;9.90;0.00;20.67;25.00;29.91
0.99;0.00;2.93;0.00;4.99;9.93;0.00;20.95;25.02;29.85
0.99;0.00;2.93;0.00;0.00;9.88;0.00;20.57;25.01;29.86
0.00;0.00;2.93;0.00;0.00;9.91;0.00;20.92;25.01;29.87
0.00;0.00;2.93;0.00;0.00;9.90;0.00;20.90;25.02;29.86
0.00;0.00;2.93;0.00;0.00;9.88;0.00;20.91;24.97;29.84
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.89;25.06;29.90
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.32;25.04;29.89
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.38;25.05;29.87
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.93;25.05;29.86
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.90;25.03;29.90
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.90;25.04;29.87
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.91;25.02;29.91
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.90;24.96;29.87
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.90;25.06;29.88
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.86;24.99;29.90
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.37;25.01;29.84
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.93;25.04;29.84
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.65;24.99;29.83
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.63;25.01;29.87
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.88;24.99;29.87
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.65;25.05;29.88
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.91;24.99;29.86
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.91;25.03;29.89
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.89;25.02;29.84
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.85;25.02;29.90
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.88;24.99;29.86
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.30;24.99;29.84
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.89;24.98;29.87
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.90;24.94;29.85
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.87;24.99;29.90
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.92;25.04;29.83
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.60;25.02;29.84
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.93;25.03;29.89
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.93;25.02;29.89
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.60;24.99;29.89
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.37;25.00;29.84
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.88;25.01;29.87
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.93;24.98;29.82
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.64;25.06;29.86
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.92;25.05;29.91
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.86;24.99;29.84
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.64;25.01;29.84
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.90;25.07;29.91
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.89;25.00;29.88
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.88;25.00;29.91
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.60;25.01;29.87
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.90;25.01;29.86
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.90;25.01;29.83
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.88;25.00;29.86
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.02;24.98;29.93
